"gene","module"
"HES4","brown"
"MMP23B","brown"
"SKI","brown"
"TMCO4","brown"
"SRSF10","brown"
"RSRP1","brown"
"RHD","brown"
"SYNC","brown"
"CSMD2","brown"
"KIAA0319L","brown"
"RHBDL2","brown"
"PTCH2","brown"
"POMGNT1","brown"
"PDE4B","brown"
"SRSF11","brown"
"ZRANB2","brown"
"C1orf52","brown"
"MTF2","brown"
"RNPC3","brown"
"AMY2B","brown"
"GPSM2","brown"
"NBPF15","brown"
"FMO5","brown"
"IGSF8","brown"
"CREG1","brown"
"PAPPA2","brown"
"ANGPTL1","brown"
"PDC","brown"
"IKBKE","brown"
"GPATCH2","brown"
"TARBP1","brown"
"TOMM20","brown"
"MTR","brown"
"AGBL5","brown"
"SPDYA","brown"
"FEZ2","brown"
"PRKD3","brown"
"SRSF7","brown"
"DYNC2LI1","brown"
"SLC3A1","brown"
"ATP6V1E2","brown"
"CFAP36","brown"
"WDPCP","brown"
"ACTR2","brown"
"MRPL19","brown"
"GCFC2","brown"
"CIAO1","brown"
"ACTR1B","brown"
"ZC3H8","brown"
"CBWD2","brown"
"RABL2A","brown"
"DDX18","brown"
"ZRANB3","brown"
"DYNC1I2","brown"
"DNAJC10","brown"
"ORMDL1","brown"
"STRADB","brown"
"ICA1L","brown"
"WDR12","brown"
"RAPH1","brown"
"FASTKD2","brown"
"MAP2","brown"
"FN1","brown"
"FARSB","brown"
"MFF","brown"
"MTERF4","brown"
"TRNT1","brown"
"LRRN1","brown"
"CAV3","brown"
"SEC13","brown"
"MKRN2OS","brown"
"MRPS25","brown"
"ITGA9","brown"
"EXOG","brown"
"TMEM158","brown"
"P4HTM","brown"
"LRTM1","brown"
"CCDC66","brown"
"CGGBP1","brown"
"FILIP1L","brown"
"BBX","brown"
"GRAMD1C","brown"
"ZDHHC23","brown"
"CCDC191","brown"
"DRD3","brown"
"GAP43","brown"
"POLQ","brown"
"SLC12A8","brown"
"PPP2R3A","brown"
"ATR","brown"
"HLTF","brown"
"ANKUB1","brown"
"P2RY14","brown"
"IGSF10","brown"
"RARRES1","brown"
"B3GALNT1","brown"
"NMD3","brown"
"B3GNT5","brown"
"KLHL24","brown"
"SLC51A","brown"
"BDH1","brown"
"PDE6B","brown"
"LRPAP1","brown"
"TBC1D19","brown"
"CCNI","brown"
"HNRNPDL","brown"
"PDE5A","brown"
"ETFDH","brown"
"NPY1R","brown"
"SCRG1","brown"
"C4orf47","brown"
"BRD9","brown"
"MED10","brown"
"SUB1","brown"
"SPEF2","brown"
"TRAPPC13","brown"
"NAIP","brown"
"BDP1","brown"
"POC5","brown"
"SLF1","brown"
"RHOBTB3","brown"
"ELL2","brown"
"PJA2","brown"
"KLHL3","brown"
"CYSTM1","brown"
"PFDN1","brown"
"NDFIP1","brown"
"SH3RF2","brown"
"PPARGC1B","brown"
"HRH2","brown"
"RGS14","brown"
"FAM153A","brown"
"PRPF4B","brown"
"MAK","brown"
"NEDD9","brown"
"E2F3","brown"
"ATF6B","brown"
"UQCC2","brown"
"PLA2G7","brown"
"C6orf141","brown"
"TMEM14A","brown"
"GSTA4","brown"
"KHDC1","brown"
"HMGN3","brown"
"SMIM8","brown"
"CCNC","brown"
"TRAF3IP2","brown"
"EYA4","brown"
"ADAT2","brown"
"TAB2","brown"
"RGS17","brown"
"DYNLT1","brown"
"SMOC2","brown"
"SUN1","brown"
"RPA3","brown"
"ICA1","brown"
"DNAH11","brown"
"NFE2L3","brown"
"CPVL","brown"
"CHN2","brown"
"FKBP14","brown"
"AOAH","brown"
"SPDYE1","brown"
"CCM2","brown"
"SUMF2","brown"
"SPDYE5","brown"
"SSC4D","brown"
"SPDYE16","brown"
"POMZP3","brown"
"TMEM130","brown"
"ZKSCAN1","brown"
"COPS6","brown"
"SPDYE3","brown"
"AP1S1","brown"
"SPDYE2","brown"
"TMEM168","brown"
"CFTR","brown"
"ZNF862","brown"
"ABCB8","brown"
"GALNT11","brown"
"TDRP","brown"
"MICU3","brown"
"INTS10","brown"
"LZTS1","brown"
"BNIP3L","brown"
"RBPMS","brown"
"SMIM19","brown"
"HGSNAT","brown"
"NKAIN3","brown"
"IL7","brown"
"DECR1","brown"
"CALB1","brown"
"SNX31","brown"
"ENY2","brown"
"TRPS1","brown"
"CYHR1","brown"
"KCNV2","brown"
"CCDC171","brown"
"TRMT10B","brown"
"ZNF658","brown"
"SHC3","brown"
"SECISBP2","brown"
"OGN","brown"
"OMD","brown"
"ECM2","brown"
"FKTN","brown"
"FRRS1L","brown"
"ZNF483","brown"
"PTGR1","brown"
"HDHD3","brown"
"RABEPK","brown"
"COQ4","brown"
"NOXA1","brown"
"RNH1","brown"
"AP2A2","brown"
"MUC6","brown"
"RIC3","brown"
"SCUBE2","brown"
"RCN1","brown"
"MS4A13","brown"
"SF1","brown"
"CCS","brown"
"RBM4B","brown"
"TMEM134","brown"
"NDUFV1","brown"
"P4HA3","brown"
"XRRA1","brown"
"SPCS2","brown"
"CREBZF","brown"
"TAF1D","brown"
"CEP164","brown"
"FOXRED1","brown"
"RPP38","brown"
"PARG","brown"
"CTNNA3","brown"
"MRPS16","brown"
"OPN4","brown"
"ACSM6","brown"
"INA","brown"
"SFXN4","brown"
"WDR11","brown"
"UROS","brown"
"PRAP1","brown"
"PHC1","brown"
"BCL2L14","brown"
"MGST1","brown"
"GOLT1B","brown"
"TM7SF3","brown"
"DNM1L","brown"
"C12orf40","brown"
"PUS7L","brown"
"CCDC65","brown"
"PRKAG1","brown"
"TUBA1A","brown"
"CALCOCO1","brown"
"VEZT","brown"
"METAP2","brown"
"GNPTAB","brown"
"TDG","brown"
"RFX4","brown"
"TCHP","brown"
"HVCN1","brown"
"MED13L","brown"
"FBXW8","brown"
"RNF34","brown"
"EIF2B1","brown"
"TMEM132B","brown"
"MMP17","brown"
"CHFR","brown"
"MICU2","brown"
"NHLRC3","brown"
"TSC22D1","brown"
"PHF11","brown"
"TRIM13","brown"
"UCHL3","brown"
"UBAC2","brown"
"ARGLU1","brown"
"ANKRD10","brown"
"UPF3A","brown"
"NOVA1","brown"
"FOXG1","brown"
"PNN","brown"
"KLHL28","brown"
"POLE2","brown"
"PYGL","brown"
"ATG14","brown"
"KTN1","brown"
"PSMA3","brown"
"JKAMP","brown"
"SLC38A6","brown"
"MTHFD1","brown"
"AKAP5","brown"
"MAX","brown"
"ATP6V1D","brown"
"MLH3","brown"
"TTC8","brown"
"DDX24","brown"
"SLC25A29","brown"
"MOK","brown"
"UBE3A","brown"
"SCG5","brown"
"KATNBL1","brown"
"LPCAT4","brown"
"GOLGA8A","brown"
"GOLGA8B","brown"
"SPRED1","brown"
"RTF1","brown"
"EPB42","brown"
"DUOX1","brown"
"SLC24A5","brown"
"CCPG1","brown"
"RNF111","brown"
"PDCD7","brown"
"RAB11A","brown"
"GLCE","brown"
"WDR61","brown"
"WDR73","brown"
"IGF1R","brown"
"MSLN","brown"
"NME3","brown"
"RAB26","brown"
"PGP","brown"
"ZNF213","brown"
"NAGPA","brown"
"NUBP1","brown"
"PDXDC1","brown"
"ANKS4B","brown"
"CRYM","brown"
"PHKB","brown"
"CES4A","brown"
"KIAA0895L","brown"
"MBTPS1","brown"
"SNAI3","brown"
"SPG7","brown"
"VPS9D1","brown"
"GAS8","brown"
"SCIMP","brown"
"MED31","brown"
"SAT2","brown"
"NAA38","brown"
"CHD3","brown"
"PIGL","brown"
"RNF112","brown"
"WSB1","brown"
"SEZ6","brown"
"CORO6","brown"
"CRLF3","brown"
"ATAD5","brown"
"C17orf78","brown"
"TCAP","brown"
"RAPGEFL1","brown"
"ETV4","brown"
"RPRML","brown"
"PDK2","brown"
"LUC7L3","brown"
"TOM1L1","brown"
"MSI2","brown"
"PTRH2","brown"
"LIMD2","brown"
"DDX5","brown"
"COG1","brown"
"NAT9","brown"
"EXOC7","brown"
"RNF213","brown"
"ENOSF1","brown"
"MPPE1","brown"
"RNMT","brown"
"TMEM241","brown"
"CHST9","brown"
"SLC14A2","brown"
"RNF165","brown"
"PTPRA","brown"
"C20orf27","brown"
"SPEF1","brown"
"CDC25B","brown"
"LAMP5","brown"
"ESF1","brown"
"BLCAP","brown"
"NNAT","brown"
"TSHZ2","brown"
"CDH4","brown"
"MTG2","brown"
"ZNF512B","brown"
"ZBTB7A","brown"
"ELAVL1","brown"
"ZNF44","brown"
"ADGRL1","brown"
"SSBP4","brown"
"TMEM59L","brown"
"SUGP2","brown"
"UQCRFS1","brown"
"URI1","brown"
"WDR88","brown"
"ZNF302","brown"
"ARHGAP33","brown"
"ZNF529","brown"
"HIPK4","brown"
"CEACAM8","brown"
"ZNF428","brown"
"PGLYRP1","brown"
"FUT2","brown"
"ZNF814","brown"
"ZSCAN18","brown"
"MZF1","brown"
"CHCHD10","brown"
"TTC28","brown"
"NF2","brown"
"TIMP3","brown"
"BAIAP2L2","brown"
"SERHL2","brown"
"RABL2B","brown"
"LIPI","brown"
"IFNGR2","brown"
"SON","brown"
"HMGN1","brown"
"NDUFV3","brown"
"UBE2G2","brown"
"ISG15","blue"
"PRKCZ","blue"
"PRDM16","blue"
"SPSB1","blue"
"CASP9","blue"
"DDOST","blue"
"NUDC","blue"
"RLF","blue"
"MAGOH","blue"
"ITGB3BP","blue"
"GADD45A","blue"
"PTGER3","blue"
"LRRIQ3","blue"
"TYW3","blue"
"GIPC2","blue"
"DR1","blue"
"CDC14A","blue"
"BCAS2","blue"
"TTF2","blue"
"TXNIP","blue"
"MCL1","blue"
"ETV3","blue"
"FCGR2A","blue"
"HSPA6","blue"
"FCGR2B","blue"
"UAP1","blue"
"DDR2","blue"
"CACYBP","blue"
"IER5","blue"
"NPL","blue"
"RGS13","blue"
"RGS2","blue"
"CHI3L1","blue"
"DYRK3","blue"
"PPP2R5A","blue"
"ATF3","blue"
"TGFB2","blue"
"FBXO28","blue"
"HEATR1","blue"
"HNRNPU","blue"
"CNST","blue"
"NBAS","blue"
"FOSL2","blue"
"LBH","blue"
"CDC42EP3","blue"
"PREPL","blue"
"PSME4","blue"
"SPRED2","blue"
"ANXA4","blue"
"PAIP2B","blue"
"EXOC6B","blue"
"EGR4","blue"
"TET3","blue"
"RNF103-CHMP3","blue"
"ASTL","blue"
"FAM178B","blue"
"ANKRD36","blue"
"RANBP2","blue"
"SH3RF3","blue"
"GLI2","blue"
"SPOPL","blue"
"MBD5","blue"
"RND3","blue"
"TNFAIP6","blue"
"NR4A2","blue"
"CCDC173","blue"
"UBR3","blue"
"GLS","blue"
"PGAP1","blue"
"HSPD1","blue"
"HSPE1-MOB4","blue"
"MOB4","blue"
"BOLL","blue"
"CLK1","blue"
"NOP58","blue"
"UNC80","blue"
"COL4A4","blue"
"SLC16A14","blue"
"PDE6D","blue"
"SNED1","blue"
"LMCD1","blue"
"RFTN1","blue"
"DAZL","blue"
"UBE2E1","blue"
"NEK10","blue"
"GOLGA4","blue"
"PLXNB1","blue"
"RBM6","blue"
"MAPKAPK3","blue"
"WNT5A","blue"
"GBE1","blue"
"MTRNR2L12","blue"
"CMSS1","blue"
"CD47","blue"
"PHLDB2","blue"
"NR1I2","blue"
"GPR156","blue"
"HSPBAP1","blue"
"GRK7","blue"
"ATP1B3","blue"
"SI","blue"
"SLITRK3","blue"
"WDR49","blue"
"SKIL","blue"
"FNDC3B","blue"
"FXR1","blue"
"C3orf70","blue"
"IGF2BP2","blue"
"TRA2B","blue"
"OSTN","blue"
"PCGF3","blue"
"RGS12","blue"
"STK32B","blue"
"NCAPG","blue"
"TMEM156","blue"
"RBM47","blue"
"GABRG1","blue"
"COX7B2","blue"
"CENPC","blue"
"CXCL2","blue"
"GPAT3","blue"
"HERC5","blue"
"BMPR1B","blue"
"SLC9B1","blue"
"ENPEP","blue"
"ANK2","blue"
"HSPA4L","blue"
"TMEM184C","blue"
"PRMT9","blue"
"MND1","blue"
"NAF1","blue"
"CPE","blue"
"VEGFC","blue"
"LRP2BP","blue"
"FAM149A","blue"
"FAT1","blue"
"AHRR","blue"
"MYO10","blue"
"RAI14","blue"
"NIM1K","blue"
"C5orf34","blue"
"ITGA1","blue"
"CDC20B","blue"
"SREK1","blue"
"DHFR","blue"
"LYSMD3","blue"
"ADGRV1","blue"
"ARRDC3","blue"
"GLRX","blue"
"PCSK1","blue"
"CAST","blue"
"ST8SIA4","blue"
"FBXL17","blue"
"KCNN2","blue"
"KIF3A","blue"
"HSPA4","blue"
"SLC25A48","blue"
"FAM13B","blue"
"EGR1","blue"
"ETF1","blue"
"MATR3","blue"
"DPYSL3","blue"
"ITK","blue"
"C5orf47","blue"
"FAM153B","blue"
"NSD1","blue"
"COL23A1","blue"
"RREB1","blue"
"CD83","blue"
"JARID2","blue"
"MYLIP","blue"
"RBM24","blue"
"ZNF184","blue"
"HLA-F","blue"
"HSPA1L","blue"
"HSPA1A","blue"
"HSPA1B","blue"
"PPARD","blue"
"ELOVL5","blue"
"PTP4A1","blue"
"ME1","blue"
"PNISR","blue"
"C6orf58","blue"
"TBPL1","blue"
"AHI1","blue"
"HECA","blue"
"HIVEP2","blue"
"AKAP12","blue"
"FNDC1","blue"
"DACT2","blue"
"ZFAND2A","blue"
"CARD11","blue"
"RADIL","blue"
"TMEM196","blue"
"MACC1","blue"
"ITGB8","blue"
"SUGCT","blue"
"INHBA","blue"
"AEBP1","blue"
"ABCA13","blue"
"NCF1","blue"
"HSPB1","blue"
"ABCB4","blue"
"DYNC1I1","blue"
"NAMPT","blue"
"IFRD1","blue"
"LSMEM1","blue"
"WNT16","blue"
"AASS","blue"
"TCAF2","blue"
"AGAP3","blue"
"DNAJB6","blue"
"ESYT2","blue"
"CLN8","blue"
"MYOM2","blue"
"ERI1","blue"
"PCM1","blue"
"LEPROTL1","blue"
"POLB","blue"
"HOOK3","blue"
"YTHDF3","blue"
"MYBL1","blue"
"LY96","blue"
"PKIA","blue"
"IMPA1","blue"
"KLF10","blue"
"MED30","blue"
"SNTB1","blue"
"ZHX2","blue"
"RNF139","blue"
"TRIB1","blue"
"PHF20L1","blue"
"ST3GAL1","blue"
"PTK2","blue"
"ARC","blue"
"BNC2","blue"
"SAXO1","blue"
"PLIN2","blue"
"DDX58","blue"
"NDUFB6","blue"
"DNAJA1","blue"
"PAX5","blue"
"PGM5","blue"
"RORB","blue"
"TRPM6","blue"
"NTRK2","blue"
"C9orf153","blue"
"GADD45G","blue"
"NFIL3","blue"
"ROR2","blue"
"NR4A3","blue"
"MUSK","blue"
"COL27A1","blue"
"TNC","blue"
"SPTAN1","blue"
"TTF1","blue"
"COL5A1","blue"
"TRIM5","blue"
"DNHD1","blue"
"MTRNR2L8","blue"
"SPTY2D1","blue"
"NAV2","blue"
"FANCF","blue"
"BDNF","blue"
"ABTB2","blue"
"RAG1","blue"
"TTC17","blue"
"C11orf96","blue"
"CCND1","blue"
"ANO1","blue"
"SERPINH1","blue"
"NDUFC2-KCTD14","blue"
"CCDC81","blue"
"CHORDC1","blue"
"JRKL","blue"
"YAP1","blue"
"KBTBD3","blue"
"RAB39A","blue"
"DIXDC1","blue"
"JAML","blue"
"UBASH3B","blue"
"KLF6","blue"
"SFMBT2","blue"
"OPTN","blue"
"MCM10","blue"
"MRC1","blue"
"GAD2","blue"
"ANKRD26","blue"
"ZEB1","blue"
"BICC1","blue"
"ARID5B","blue"
"EGR2","blue"
"CDH23","blue"
"ECD","blue"
"MINPP1","blue"
"FAS","blue"
"DUSP5","blue"
"GRK5","blue"
"RGS10","blue"
"BAG3","blue"
"WNT5B","blue"
"FBXL14","blue"
"PTPN6","blue"
"CLSTN3","blue"
"PEX5","blue"
"SLC2A14","blue"
"SLC2A3","blue"
"KLRD1","blue"
"GPR19","blue"
"C12orf60","blue"
"DERA","blue"
"RECQL","blue"
"C2CD5","blue"
"STK38L","blue"
"ENDOU","blue"
"RAPGEF3","blue"
"SENP1","blue"
"DIP2B","blue"
"NR4A1","blue"
"WIF1","blue"
"MSRB3","blue"
"LGR5","blue"
"RAB21","blue"
"TPH2","blue"
"CSRP2","blue"
"PPP1R12A","blue"
"ACSS3","blue"
"CCDC59","blue"
"FGD6","blue"
"C12orf42","blue"
"FAM222A","blue"
"HRK","blue"
"VPS37B","blue"
"ADGRD1","blue"
"MPHOSPH8","blue"
"HMGB1","blue"
"USPL1","blue"
"HSPH1","blue"
"N4BP2L2","blue"
"FNDC3A","blue"
"MYCBP2","blue"
"IRS2","blue"
"GRTP1","blue"
"CCNB1IP1","blue"
"SCFD1","blue"
"FBXO33","blue"
"TXNDC16","blue"
"DCAF5","blue"
"AREL1","blue"
"FOS","blue"
"THBS1","blue"
"BAHD1","blue"
"NUSAP1","blue"
"SNAP23","blue"
"FBN1","blue"
"PYGO1","blue"
"MAP2K5","blue"
"UACA","blue"
"DNAJA4","blue"
"RASGRF1","blue"
"RPL3L","blue"
"PPL","blue"
"ATF7IP2","blue"
"SNX29","blue"
"HS3ST2","blue"
"ZKSCAN2","blue"
"NSMCE1","blue"
"MYLK3","blue"
"ITFG1","blue"
"ADCY7","blue"
"CYLD","blue"
"CBFB","blue"
"PLCG2","blue"
"SLC38A8","blue"
"CRISPLD2","blue"
"FBXO31","blue"
"PIEZO1","blue"
"CDH15","blue"
"PAFAH1B1","blue"
"GP1BA","blue"
"TMEM95","blue"
"ALOXE3","blue"
"PIK3R6","blue"
"GSG1L2","blue"
"ALKBH5","blue"
"MTRNR2L1","blue"
"CPD","blue"
"TAF15","blue"
"GPATCH8","blue"
"GFAP","blue"
"C17orf67","blue"
"AXIN2","blue"
"KCNJ2","blue"
"SOX9","blue"
"DNAH17","blue"
"OGFOD3","blue"
"FOXK2","blue"
"NDC80","blue"
"MYOM1","blue"
"MYL12A","blue"
"ABHD3","blue"
"MIB1","blue"
"OSBPL1A","blue"
"MAPRE2","blue"
"SYT4","blue"
"SMAD7","blue"
"MYO5B","blue"
"RNF152","blue"
"TNFRSF11A","blue"
"ZNF516","blue"
"NFATC1","blue"
"SNAP25","blue"
"DOK5","blue"
"LAMA5","blue"
"NTSR1","blue"
"ZBTB46","blue"
"ARID3A","blue"
"MIDN","blue"
"MKNK2","blue"
"JSRP1","blue"
"TMPRSS9","blue"
"HMG20B","blue"
"GIPC3","blue"
"APBA3","blue"
"FEM1A","blue"
"C3","blue"
"CAMSAP3","blue"
"MUC16","blue"
"COL5A3","blue"
"TYK2","blue"
"CDC37","blue"
"LDLR","blue"
"RGL3","blue"
"ZNF823","blue"
"JUNB","blue"
"DNAJB1","blue"
"TPM4","blue"
"NWD1","blue"
"CPAMD8","blue"
"MYO9B","blue"
"KCNN1","blue"
"TMEM161A","blue"
"RHPN2","blue"
"CHST8","blue"
"HPN","blue"
"NPHS1","blue"
"NFKBID","blue"
"ZNF565","blue"
"ZNF571","blue"
"ZFP36","blue"
"FOSB","blue"
"ELSPBP1","blue"
"DHDH","blue"
"FCGRT","blue"
"ZNF331","blue"
"DPRX","blue"
"DNAAF3","blue"
"BID","blue"
"PI4KA","blue"
"TPST2","blue"
"CRYBA4","blue"
"MN1","blue"
"RNF185","blue"
"HMOX1","blue"
"CSDC2","blue"
"PHF21B","blue"
"ATXN10","blue"
"TTLL8","blue"
"ADAMTS1","blue"
"HUNK","blue"
"TTC3","blue"
"BRWD1","blue"
"SLC19A1","blue"
"C2orf66","blue"
"AREG","blue"
"FHL5","blue"
"NPAS4","blue"
"MMP12","blue"
"VWA1","yellow"
"PADI2","yellow"
"CLIC4","yellow"
"MARCKSL1","yellow"
"RNF220","yellow"
"EPS15","yellow"
"CYP2J2","yellow"
"ATG4C","yellow"
"DNAJC6","yellow"
"TTLL7","yellow"
"PTBP2","yellow"
"SORT1","yellow"
"OTUD7B","yellow"
"HAPLN2","yellow"
"KCNJ10","yellow"
"GLUL","yellow"
"COLGALT2","yellow"
"CSRP1","yellow"
"NFASC","yellow"
"CNTN2","yellow"
"CDK18","yellow"
"TMEM63A","yellow"
"ITPKB","yellow"
"RHOU","yellow"
"RASGRP3","yellow"
"FOXN2","yellow"
"VRK2","yellow"
"RTKN","yellow"
"MAL","yellow"
"MAP4K4","yellow"
"BIN1","yellow"
"NCKAP5","yellow"
"ERMN","yellow"
"FIGN","yellow"
"LRP2","yellow"
"CYBRD1","yellow"
"WIPF1","yellow"
"RFTN2","yellow"
"DOCK10","yellow"
"PTMA","yellow"
"EFHD1","yellow"
"AGAP1","yellow"
"BOK","yellow"
"KCNH8","yellow"
"KAT2B","yellow"
"MOBP","yellow"
"SEMA3B","yellow"
"PXK","yellow"
"RYBP","yellow"
"CLDND1","yellow"
"TF","yellow"
"SRPRB","yellow"
"SLC9A9","yellow"
"TRIM59","yellow"
"CLDN11","yellow"
"PLD1","yellow"
"PEX5L","yellow"
"APOD","yellow"
"QDPR","yellow"
"FRYL","yellow"
"TMEM165","yellow"
"SCD5","yellow"
"SPP1","yellow"
"UGT8","yellow"
"GAB1","yellow"
"HHIP","yellow"
"SH3D19","yellow"
"TRIM2","yellow"
"TMEM144","yellow"
"FBXL7","yellow"
"SLC1A3","yellow"
"ITGA2","yellow"
"ZFYVE16","yellow"
"EDIL3","yellow"
"MAN2A1","yellow"
"SEMA6A","yellow"
"MEGF10","yellow"
"SLC12A2","yellow"
"FGF1","yellow"
"SH3TC2","yellow"
"FAXDC2","yellow"
"ATP10B","yellow"
"KIF13A","yellow"
"MOG","yellow"
"KIF6","yellow"
"DAAM2","yellow"
"TFEB","yellow"
"PAQR8","yellow"
"PTPRK","yellow"
"LAMA2","yellow"
"SYNJ2","yellow"
"QKI","yellow"
"CREB5","yellow"
"ANLN","yellow"
"HIP1","yellow"
"GNAI1","yellow"
"PON2","yellow"
"SLC25A13","yellow"
"TSC22D4","yellow"
"GPR37","yellow"
"HIPK2","yellow"
"DOCK5","yellow"
"KIF13B","yellow"
"ST18","yellow"
"CA2","yellow"
"STK3","yellow"
"ENPP2","yellow"
"NDRG1","yellow"
"KANK1","yellow"
"ABHD17B","yellow"
"PRUNE2","yellow"
"SEMA4D","yellow"
"SLC35D2","yellow"
"SLC44A1","yellow"
"SVEP1","yellow"
"LPAR1","yellow"
"SLC31A2","yellow"
"GSN","yellow"
"CERCAM","yellow"
"FNBP1","yellow"
"PTGDS","yellow"
"ABCA2","yellow"
"SYT9","yellow"
"PPFIBP2","yellow"
"LDLRAD3","yellow"
"PRR5L","yellow"
"CD82","yellow"
"LRP4","yellow"
"FOLH1","yellow"
"MYRF","yellow"
"CARNS1","yellow"
"PLEKHB1","yellow"
"CRYAB","yellow"
"PHLDB1","yellow"
"HEPACAM","yellow"
"PRKCQ","yellow"
"FAM107B","yellow"
"PIP4K2A","yellow"
"ARHGAP21","yellow"
"RHOBTB1","yellow"
"TSPAN15","yellow"
"ADAMTS14","yellow"
"UNC5B","yellow"
"USP54","yellow"
"ZCCHC24","yellow"
"OPALIN","yellow"
"SCD","yellow"
"SHTN1","yellow"
"FGFR2","yellow"
"C10orf90","yellow"
"DOCK1","yellow"
"NKX6-2","yellow"
"NINJ2","yellow"
"ADIPOR2","yellow"
"CD9","yellow"
"SLCO1A2","yellow"
"SLC48A1","yellow"
"ERBB3","yellow"
"CPM","yellow"
"KCNMB4","yellow"
"TMTC2","yellow"
"TMCC3","yellow"
"GLTP","yellow"
"P2RX7","yellow"
"HIP1R","yellow"
"AMER2","yellow"
"RGCC","yellow"
"LRRC63","yellow"
"FAM124A","yellow"
"SLAIN1","yellow"
"TMTC4","yellow"
"RNASE1","yellow"
"NDRG2","yellow"
"MAP4K5","yellow"
"HSPA2","yellow"
"PLEKHG3","yellow"
"FUT8","yellow"
"PLEKHH1","yellow"
"RAD51B","yellow"
"PSEN1","yellow"
"CLMN","yellow"
"GREM1","yellow"
"CAPN3","yellow"
"GLDN","yellow"
"TCF12","yellow"
"MYO1E","yellow"
"DAPK2","yellow"
"NEO1","yellow"
"PDE8A","yellow"
"PCSK6","yellow"
"NDE1","yellow"
"TMC7","yellow"
"CCP110","yellow"
"GPRC5B","yellow"
"SLC5A11","yellow"
"CPNE2","yellow"
"PLLP","yellow"
"FA2H","yellow"
"ASPA","yellow"
"PMP22","yellow"
"MYO1D","yellow"
"TMEM98","yellow"
"ARHGAP23","yellow"
"CNP","yellow"
"ABCA8","yellow"
"SLC39A11","yellow"
"TTYH2","yellow"
"TMC6","yellow"
"AFMID","yellow"
"TMEM235","yellow"
"AATK","yellow"
"PIEZO2","yellow"
"NPC1","yellow"
"PHLPP1","yellow"
"CDH19","yellow"
"CNDP1","yellow"
"MBP","yellow"
"RASSF2","yellow"
"KIAA1755","yellow"
"PREX1","yellow"
"BCAS1","yellow"
"PLPP2","yellow"
"MAG","yellow"
"CD22","yellow"
"PPP1R14A","yellow"
"KLK6","yellow"
"POLR2F","yellow"
"SOX10","yellow"
"SUN2","yellow"
"OLIG1","yellow"
"CBR1","yellow"
"S100B","yellow"
"AJAP1","turquoise"
"CHD5","turquoise"
"CLSTN1","turquoise"
"SPEN","turquoise"
"NBPF1","turquoise"
"ATP13A2","turquoise"
"IGSF21","turquoise"
"CAPZB","turquoise"
"NBL1","turquoise"
"HP1BP3","turquoise"
"ECE1","turquoise"
"RAP1GAP","turquoise"
"EPHA8","turquoise"
"PITHD1","turquoise"
"STMN1","turquoise"
"IFI6","turquoise"
"EPB41","turquoise"
"PTPRU","turquoise"
"S100PBP","turquoise"
"FNDC5","turquoise"
"HPCA","turquoise"
"TRIM62","turquoise"
"DLGAP3","turquoise"
"C1orf122","turquoise"
"INPP5B","turquoise"
"HIVEP3","turquoise"
"CCDC30","turquoise"
"YBX1","turquoise"
"ATP6V0B","turquoise"
"PRDX1","turquoise"
"MAST2","turquoise"
"ELAVL4","turquoise"
"RNF11","turquoise"
"RAB3B","turquoise"
"ZYG11B","turquoise"
"LRP8","turquoise"
"ACOT11","turquoise"
"DAB1","turquoise"
"NFIA","turquoise"
"KANK4","turquoise"
"ROR1","turquoise"
"CACHD1","turquoise"
"RAVER2","turquoise"
"SGIP1","turquoise"
"TCTEX1D1","turquoise"
"LRRC7","turquoise"
"NEGR1","turquoise"
"ERICH3","turquoise"
"SLC44A5","turquoise"
"ST6GALNAC5","turquoise"
"ADGRL2","turquoise"
"SSX2IP","turquoise"
"DDAH1","turquoise"
"COL24A1","turquoise"
"HS2ST1","turquoise"
"HFM1","turquoise"
"TGFBR3","turquoise"
"EPHX4","turquoise"
"FNBP1L","turquoise"
"CNN3","turquoise"
"DPYD","turquoise"
"SNX7","turquoise"
"GPR88","turquoise"
"VAV3","turquoise"
"NBPF6","turquoise"
"AMIGO1","turquoise"
"STRIP1","turquoise"
"SLC6A17","turquoise"
"KCNC4","turquoise"
"NGF","turquoise"
"SRGAP2C","turquoise"
"SRGAP2B","turquoise"
"NBPF12","turquoise"
"PDE4DIP","turquoise"
"SV2A","turquoise"
"CDC42SE1","turquoise"
"MLLT11","turquoise"
"S100A6","turquoise"
"KCNN3","turquoise"
"BCAN","turquoise"
"ARHGEF11","turquoise"
"PEA15","turquoise"
"VANGL2","turquoise"
"NOS1AP","turquoise"
"PBX1","turquoise"
"DCAF6","turquoise"
"ATP1B1","turquoise"
"KIFAP3","turquoise"
"PRRX1","turquoise"
"TNR","turquoise"
"BRINP2","turquoise"
"RASAL2","turquoise"
"CEP350","turquoise"
"CACNA1E","turquoise"
"RGS8","turquoise"
"LAMC1","turquoise"
"C1orf21","turquoise"
"B3GALT2","turquoise"
